	aratha1-ser	ecoli-ser	hg19-ser	methr-ser	sacer-ser
Number of genes	9	4	18	4	5
Number of genes in orthogroups	8	2	15	2	3
Number of unassigned genes	1	2	3	2	2
Percentage of genes in orthogroups	88.9	50.0	83.3	50.0	60.0
Percentage of unassigned genes	11.1	50.0	16.7	50.0	40.0
Number of orthogroups containing species	1	1	3	1	2
Percentage of orthogroups containing species	16.7	16.7	50.0	16.7	33.3
Number of species-specific orthogroups	1	0	1	1	1
Number of genes in species-specific orthogroups	8	0	5	2	2
Percentage of genes in species-specific orthogroups	88.9	0.0	27.8	50.0	40.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	5	5	3	5	4
'1	0	0	0	0	1
'2	0	1	0	1	1
'3	0	0	1	0	0
'4	0	0	0	0	0
'5	0	0	1	0	0
'6	0	0	0	0	0
'7	0	0	1	0	0
'8	1	0	0	0	0
'9	0	0	0	0	0
'10	0	0	0	0	0
11-15	0	0	0	0	0
16-20	0	0	0	0	0
21-50	0	0	0	0	0
51-100	0	0	0	0	0
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	83.3	83.3	50.0	83.3	66.7
'1	0.0	0.0	0.0	0.0	16.7
'2	0.0	16.7	0.0	16.7	16.7
'3	0.0	0.0	16.7	0.0	0.0
'4	0.0	0.0	0.0	0.0	0.0
'5	0.0	0.0	16.7	0.0	0.0
'6	0.0	0.0	0.0	0.0	0.0
'7	0.0	0.0	16.7	0.0	0.0
'8	16.7	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0
'1	0	0	0	0	1
'2	0	2	0	2	2
'3	0	0	3	0	0
'4	0	0	0	0	0
'5	0	0	5	0	0
'6	0	0	0	0	0
'7	0	0	7	0	0
'8	8	0	0	0	0
'9	0	0	0	0	0
'10	0	0	0	0	0
11-15	0	0	0	0	0
16-20	0	0	0	0	0
21-50	0	0	0	0	0
51-100	0	0	0	0	0
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0
'1	0.0	0.0	0.0	0.0	20.0
'2	0.0	50.0	0.0	50.0	40.0
'3	0.0	0.0	16.7	0.0	0.0
'4	0.0	0.0	0.0	0.0	0.0
'5	0.0	0.0	27.8	0.0	0.0
'6	0.0	0.0	0.0	0.0	0.0
'7	0.0	0.0	38.9	0.0	0.0
'8	88.9	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0
